flow_uuid,route,time,hops,total_distance,total_reward,jump_1_reward,jump_2_reward,jump_3_reward,jump_4_reward,jump_5_reward,jump_6_reward,jump_7_reward,jump_8_reward,jump_9_reward
517673,152->133,10,2,7584.91,1.03333,0.03333,1.0,,,,,,,
920228,133->146,20,3,11283.71,1.06349,0.03016,0.03333,1.0,,,,,,
225614,133->152,20,2,7604.62,1.03333,0.03333,1.0,,,,,,,
598150,133->122,20,7,24817.3,1.16492,0.01484,0.03333,0.03333,0.03333,0.01675,0.03333,1.0,,
47441,122->146,20,4,13533.6,1.09369,0.02702,0.03333,0.03333,1.0,,,,,
719125,146->152,20,5,18888.33,1.11779,0.01904,0.03209,0.03333,0.03333,1.0,,,,
517673,152->133,20,2,7604.62,1.03333,0.03333,1.0,,,,,,,
920228,108->146,30,5,15091.09,1.13283,0.03333,0.03333,0.03333,0.03283,1.0,,,,
225614,108->152,30,2,6459.46,1.03333,0.03333,1.0,,,,,,,
598150,108->122,30,7,20965.81,1.17773,0.03333,0.03333,0.03333,0.03333,0.01106,0.03333,1.0,,
